# Animal Attribute Values
#	cluster	imagenum	Cat	Dog	Lion	Panda	Tiger
DogHead	17	0	1	0	0	0
DogHead	18	0	1	0	0	0
DogHead	19	0	1	0	0	0
DogHead	20	0	1	0	0	0
DogHead	21	0	1	0	0	0
DogHead	22	0	1	0	0	0
DogHead	23	0	1	0	0	0
DogHead	24	0	1	0	0	0
DogHead	25	0	1	0	0	0
DogHead	26	0	1	0	0	0
DogHead	27	0	1	0	0	0
DogHead	28	0	1	0	0	0
DogHead	29	0	1	0	0	0
DogHead	30	0	1	0	0	0
DogHead	31	0	1	0	0	0
DogHead	32	0	1	0	0	0
DogHead	33	0	1	0	0	0
DogHead	34	0	1	0	0	0
DogHead	35	0	1	0	0	0
DogHead	36	0	1	0	0	0
DogHead	37	0	1	0	0	0
DogHead	38	0	1	0	0	0
DogHead	39	0	1	0	0	0
DogHead	40	0	1	0	0	0
DogHead	41	0	1	0	0	0
DogHead	42	0	1	0	0	0
DogHead	43	0	1	0	0	0
DogHead	44	0	1	0	0	0
DogHead	45	0	1	0	0	0
DogHead	46	0	1	0	0	0
DogHead	47	0	1	0	0	0
DogHead	48	0	1	0	0	0
DogHead	49	0	1	0	0	0
DogHead	50	0	1	0	0	0
DogHead	51	0	1	0	0	0
DogHead	52	0	1	0	0	0
DogHead	53	0	1	0	0	0
DogHead	54	0	1	0	0	0
DogHead	55	0	1	0	0	0
DogHead	56	0	1	0	0	0
DogHead	57	0	1	0	0	0
DogHead	58	0	1	0	0	0
DogHead	59	0	1	0	0	0
DogHead	60	0	1	0	0	0
DogHead	61	0	1	0	0	0
DogHead	62	0	1	0	0	0
DogHead	63	0	1	0	0	0
DogHead	64	0	1	0	0	0
DogHead	65	0	1	0	0	0
DogHead	66	0	1	0	0	0
DogHead	67	0	1	0	0	0
DogHead	68	0	1	0	0	0
DogHead	69	0	1	0	0	0
DogHead	70	0	1	0	0	0
DogHead	71	0	1	0	0	0
DogHead	72	0	1	0	0	0
DogHead	73	0	1	0	0	0
DogHead	74	0	1	0	0	0
DogHead	75	0	1	0	0	0
DogHead	76	0	1	0	0	0
DogHead	77	0	1	0	0	0
DogHead	78	0	1	0	0	0
DogHead	79	0	1	0	0	0
DogHead	80	0	1	0	0	0
DogHead	81	0	1	0	0	0
DogHead	82	0	1	0	0	0
DogHead	83	0	1	0	0	0
DogHead	84	0	1	0	0	0
DogHead	85	0	1	0	0	0
DogHead	86	0	1	0	0	0
DogHead	87	0	1	0	0	0
DogHead	88	0	1	0	0	0
DogHead	89	0	1	0	0	0
DogHead	90	0	1	0	0	0
DogHead	91	0	1	0	0	0
DogHead	92	0	1	0	0	0
DogHead	93	0	1	0	0	0
DogHead	94	0	1	0	0	0
DogHead	95	0	1	0	0	0
DogHead	96	0	1	0	0	0
DogHead	97	0	1	0	0	0
DogHead	98	0	1	0	0	0
DogHead	99	0	1	0	0	0
DogHead	100	0	1	0	0	0
DogHead	101	0	1	0	0	0
DogHead	102	0	1	0	0	0
DogHead	103	0	1	0	0	0
DogHead	104	0	1	0	0	0
DogHead	105	0	1	0	0	0
DogHead	106	0	1	0	0	0
DogHead	107	0	1	0	0	0
DogHead	108	0	1	0	0	0
DogHead	109	0	1	0	0	0
DogHead	110	0	1	0	0	0
DogHead	111	0	1	0	0	0
DogHead	112	0	1	0	0	0
DogHead	113	0	1	0	0	0
DogHead	114	0	1	0	0	0
DogHead	115	0	1	0	0	0
DogHead	116	0	1	0	0	0
DogHead	117	0	1	0	0	0
DogHead	118	0	1	0	0	0
DogHead	119	0	1	0	0	0
DogHead	120	0	1	0	0	0
DogHead	121	0	1	0	0	0
DogHead	122	0	1	0	0	0
DogHead	123	0	1	0	0	0
DogHead	124	0	1	0	0	0
DogHead	125	0	1	0	0	0
DogHead	126	0	1	0	0	0
DogHead	127	0	1	0	0	0
DogHead	128	0	1	0	0	0
DogHead	129	0	1	0	0	0
DogHead	130	0	1	0	0	0
DogHead	131	0	1	0	0	0
DogHead	132	0	1	0	0	0
DogHead	133	0	1	0	0	0
DogHead	134	0	1	0	0	0
DogHead	135	0	1	0	0	0
DogHead	136	0	1	0	0	0
DogHead	137	0	1	0	0	0
DogHead	138	0	1	0	0	0
DogHead	139	0	1	0	0	0
DogHead	140	0	1	0	0	0
DogHead	141	0	1	0	0	0
DogHead	142	0	1	0	0	0
DogHead	143	0	1	0	0	0
DogHead	144	0	1	0	0	0
DogHead	145	0	1	0	0	0
DogHead	146	0	1	0	0	0
DogHead	147	0	1	0	0	0
DogHead	148	0	1	0	0	0
DogHead	149	0	1	0	0	0
DogHead	150	0	1	0	0	0
DogHead	151	0	1	0	0	0
DogHead	152	0	1	0	0	0
DogHead	153	0	1	0	0	0
DogHead	154	0	1	0	0	0
DogHead	155	0	1	0	0	0
DogHead	156	0	1	0	0	0
DogHead	157	0	1	0	0	0
DogHead	158	0	1	0	0	0
DogHead	159	0	1	0	0	0
DogHead	160	0	1	0	0	0
DogHead	161	0	1	0	0	0
DogHead	162	0	1	0	0	0
DogHead	163	0	1	0	0	0
DogHead	164	0	1	0	0	0
DogHead	165	0	1	0	0	0
DogHead	166	0	1	0	0	0
DogHead	167	0	1	0	0	0
DogHead	168	0	1	0	0	0
DogHead	169	0	1	0	0	0
DogHead	170	0	1	0	0	0
DogHead	171	0	1	0	0	0
DogHead	172	0	1	0	0	0
DogHead	173	0	1	0	0	0
DogHead	174	0	1	0	0	0
DogHead	175	0	1	0	0	0
DogHead	176	0	1	0	0	0
DogHead	177	0	1	0	0	0
DogHead	178	0	1	0	0	0
DogHead	179	0	1	0	0	0
DogHead	180	0	1	0	0	0
DogHead	181	0	1	0	0	0
DogHead	182	0	1	0	0	0
DogHead	183	0	1	0	0	0
LionHead	1	0	0	1	0	0
LionHead	2	0	0	1	0	0
LionHead	3	0	0	1	0	0
LionHead	4	0	0	1	0	0
LionHead	5	0	0	1	0	0
LionHead	6	0	0	1	0	0
LionHead	7	0	0	1	0	0
LionHead	8	0	0	1	0	0
LionHead	9	0	0	1	0	0
LionHead	10	0	0	1	0	0
LionHead	11	0	0	1	0	0
LionHead	12	0	0	1	0	0
LionHead	13	0	0	1	0	0
LionHead	14	0	0	1	0	0
LionHead	15	0	0	1	0	0
LionHead	16	0	0	1	0	0
LionHead	17	0	0	1	0	0
LionHead	18	0	0	1	0	0
LionHead	19	0	0	1	0	0
LionHead	20	0	0	1	0	0
LionHead	21	0	0	1	0	0
LionHead	22	0	0	1	0	0
LionHead	23	0	0	1	0	0
LionHead	24	0	0	1	0	0
LionHead	25	0	0	1	0	0
LionHead	26	0	0	1	0	0
LionHead	27	0	0	1	0	0
LionHead	28	0	0	1	0	0
LionHead	29	0	0	1	0	0
LionHead	30	0	0	1	0	0
LionHead	31	0	0	1	0	0
LionHead	32	0	0	1	0	0
LionHead	33	0	0	1	0	0
LionHead	34	0	0	1	0	0
LionHead	35	0	0	1	0	0
LionHead	36	0	0	1	0	0
LionHead	37	0	0	1	0	0
LionHead	38	0	0	1	0	0
LionHead	39	0	0	1	0	0
LionHead	40	0	0	1	0	0
LionHead	41	0	0	1	0	0
LionHead	42	0	0	1	0	0
LionHead	43	0	0	1	0	0
LionHead	44	0	0	1	0	0
LionHead	45	0	0	1	0	0
LionHead	46	0	0	1	0	0
LionHead	47	0	0	1	0	0
LionHead	48	0	0	1	0	0
LionHead	49	0	0	1	0	0
LionHead	50	0	0	1	0	0
LionHead	51	0	0	1	0	0
LionHead	52	0	0	1	0	0
LionHead	53	0	0	1	0	0
LionHead	54	0	0	1	0	0
LionHead	55	0	0	1	0	0
LionHead	56	0	0	1	0	0
LionHead	57	0	0	1	0	0
LionHead	58	0	0	1	0	0
LionHead	59	0	0	1	0	0
LionHead	60	0	0	1	0	0
LionHead	61	0	0	1	0	0
LionHead	62	0	0	1	0	0
LionHead	63	0	0	1	0	0
LionHead	64	0	0	1	0	0
LionHead	65	0	0	1	0	0
LionHead	66	0	0	1	0	0
LionHead	67	0	0	1	0	0
LionHead	68	0	0	1	0	0
LionHead	69	0	0	1	0	0
LionHead	70	0	0	1	0	0
LionHead	71	0	0	1	0	0
LionHead	72	0	0	1	0	0
LionHead	73	0	0	1	0	0
LionHead	74	0	0	1	0	0
PandaHead	1	0	0	0	1	0
PandaHead	2	0	0	0	1	0
PandaHead	3	0	0	0	1	0
PandaHead	4	0	0	0	1	0
PandaHead	5	0	0	0	1	0
PandaHead	6	0	0	0	1	0
PandaHead	7	0	0	0	1	0
PandaHead	8	0	0	0	1	0
PandaHead	9	0	0	0	1	0
PandaHead	10	0	0	0	1	0
PandaHead	11	0	0	0	1	0
PandaHead	12	0	0	0	1	0
PandaHead	13	0	0	0	1	0
PandaHead	14	0	0	0	1	0
PandaHead	15	0	0	0	1	0
PandaHead	16	0	0	0	1	0
PandaHead	17	0	0	0	1	0
PandaHead	18	0	0	0	1	0
PandaHead	19	0	0	0	1	0
PandaHead	20	0	0	0	1	0
PandaHead	21	0	0	0	1	0
PandaHead	22	0	0	0	1	0
PandaHead	23	0	0	0	1	0
PandaHead	24	0	0	0	1	0
PandaHead	25	0	0	0	1	0
PandaHead	26	0	0	0	1	0
PandaHead	27	0	0	0	1	0
PandaHead	28	0	0	0	1	0
PandaHead	29	0	0	0	1	0
PandaHead	30	0	0	0	1	0
PandaHead	31	0	0	0	1	0
PandaHead	32	0	0	0	1	0
PandaHead	33	0	0	0	1	0
PandaHead	34	0	0	0	1	0
PandaHead	35	0	0	0	1	0
PandaHead	36	0	0	0	1	0
PandaHead	37	0	0	0	1	0
PandaHead	38	0	0	0	1	0
PandaHead	39	0	0	0	1	0
PandaHead	40	0	0	0	1	0
PandaHead	41	0	0	0	1	0
PandaHead	42	0	0	0	1	0
PandaHead	43	0	0	0	1	0
PandaHead	44	0	0	0	1	0
PandaHead	45	0	0	0	1	0
PandaHead	46	0	0	0	1	0
PandaHead	47	0	0	0	1	0
PandaHead	48	0	0	0	1	0
PandaHead	49	0	0	0	1	0
PandaHead	50	0	0	0	1	0
PandaHead	51	0	0	0	1	0
PandaHead	52	0	0	0	1	0
PandaHead	53	0	0	0	1	0
PandaHead	54	0	0	0	1	0
TigerHead	1	0	0	0	0	1
TigerHead	2	0	0	0	0	1
TigerHead	3	0	0	0	0	1
TigerHead	4	0	0	0	0	1
TigerHead	5	0	0	0	0	1
TigerHead	6	0	0	0	0	1
TigerHead	7	0	0	0	0	1
TigerHead	8	0	0	0	0	1
TigerHead	9	0	0	0	0	1
TigerHead	10	0	0	0	0	1
TigerHead	11	0	0	0	0	1
TigerHead	12	0	0	0	0	1
TigerHead	13	0	0	0	0	1
TigerHead	14	0	0	0	0	1
TigerHead	15	0	0	0	0	1
TigerHead	16	0	0	0	0	1
TigerHead	17	0	0	0	0	1
TigerHead	18	0	0	0	0	1
TigerHead	19	0	0	0	0	1
TigerHead	20	0	0	0	0	1
TigerHead	21	0	0	0	0	1
TigerHead	22	0	0	0	0	1
TigerHead	23	0	0	0	0	1
TigerHead	24	0	0	0	0	1
TigerHead	25	0	0	0	0	1
TigerHead	26	0	0	0	0	1
TigerHead	27	0	0	0	0	1
TigerHead	28	0	0	0	0	1
TigerHead	29	0	0	0	0	1
TigerHead	30	0	0	0	0	1
TigerHead	31	0	0	0	0	1
TigerHead	32	0	0	0	0	1
TigerHead	33	0	0	0	0	1
TigerHead	34	0	0	0	0	1
TigerHead	35	0	0	0	0	1
TigerHead	36	0	0	0	0	1
TigerHead	37	0	0	0	0	1
TigerHead	38	0	0	0	0	1
TigerHead	39	0	0	0	0	1
TigerHead	40	0	0	0	0	1
TigerHead	41	0	0	0	0	1
TigerHead	42	0	0	0	0	1
TigerHead	43	0	0	0	0	1
TigerHead	44	0	0	0	0	1
TigerHead	45	0	0	0	0	1
TigerHead	46	0	0	0	0	1
TigerHead	47	0	0	0	0	1
TigerHead	48	0	0	0	0	1
TigerHead	49	0	0	0	0	1
TigerHead	50	0	0	0	0	1
TigerHead	51	0	0	0	0	1
TigerHead	52	0	0	0	0	1
TigerHead	53	0	0	0	0	1
TigerHead	54	0	0	0	0	1
TigerHead	55	0	0	0	0	1
TigerHead	56	0	0	0	0	1
TigerHead	57	0	0	0	0	1
TigerHead	58	0	0	0	0	1
TigerHead	59	0	0	0	0	1
TigerHead	60	0	0	0	0	1
TigerHead	61	0	0	0	0	1
TigerHead	62	0	0	0	0	1
TigerHead	63	0	0	0	0	1
TigerHead	64	0	0	0	0	1
TigerHead	65	0	0	0	0	1
TigerHead	66	0	0	0	0	1
TigerHead	67	0	0	0	0	1
TigerHead	68	0	0	0	0	1
TigerHead	69	0	0	0	0	1
TigerHead	70	0	0	0	0	1
TigerHead	71	0	0	0	0	1
TigerHead	72	0	0	0	0	1
TigerHead	73	0	0	0	0	1
TigerHead	74	0	0	0	0	1
TigerHead	75	0	0	0	0	1
TigerHead	76	0	0	0	0	1
TigerHead	77	0	0	0	0	1
TigerHead	78	0	0	0	0	1
TigerHead	79	0	0	0	0	1
TigerHead	80	0	0	0	0	1
TigerHead	81	0	0	0	0	1
